,상호,주소,가격,셀프,상표,구
149,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1733.0,Y,SK에너지,송파구
150,제트라인DM주유소,서울 송파구 중대로 183 (가락동),1735.0,N,HD현대오일뱅크,송파구
151,백제고분로주유소,서울 송파구 오금로 143 (방이동),1737.0,Y,SK에너지,송파구
152,방이주유소,서울 송파구 위례성대로12길 38 (방이동),1737.0,N,SK에너지,송파구
153,(유)호림플러스홀딩스 남성주유소,서울 송파구 백제고분로 474,1737.0,N,HD현대오일뱅크,송파구
154,완불주유소,서울 송파구 송파대로 3 (장지동),1741.0,Y,SK에너지,송파구
155,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1747.0,N,GS칼텍스,송파구
156,(주)정직한주유소,서울 송파구 오금로 455 (거여동),1747.0,Y,HD현대오일뱅크,송파구
157,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),1759.0,Y,SK에너지,송파구
158,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),1778.0,Y,GS칼텍스,송파구
159,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,1778.0,Y,GS칼텍스,송파구
160,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1778.0,Y,HD현대오일뱅크,송파구
161,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),1938.0,N,SK에너지,송파구
162,현대주유소,서울 양천구 남부순환로 372 (신월동),1662.0,Y,S-OIL,양천구
163,플라트(주)서호주유소,서울 양천구 남부순환로 317,1663.0,Y,GS칼텍스,양천구
164,HD현대오일뱅크㈜직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),1669.0,Y,HD현대오일뱅크,양천구
165,가로공원주유소,서울 양천구 가로공원로 165 (신월동),1672.0,N,SK에너지,양천구
166,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1672.0,Y,SK에너지,양천구
167,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),1677.0,Y,HD현대오일뱅크,양천구
168,형산석유(주)원주유소,서울 양천구 남부순환로 408,1681.0,N,HD현대오일뱅크,양천구
169,양천구주유소,서울 양천구 국회대로 275 (목동),1684.0,Y,알뜰주유소,양천구
170,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),1684.0,Y,SK에너지,양천구
171,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),1689.0,Y,GS칼텍스,양천구
172,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),1697.0,Y,HD현대오일뱅크,양천구
173,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),1697.0,Y,GS칼텍스,양천구
174,신월주유소,서울 양천구 신월로 193 (신월동),1698.0,Y,GS칼텍스,양천구
175,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),1704.0,Y,SK에너지,양천구
176,현대오일뱅크(주)직영 양정주유소,서울 양천구 국회대로 158 (신정동),1709.0,N,HD현대오일뱅크,양천구
177,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,1714.0,Y,HD현대오일뱅크,양천구
178,목동주유소,서울 양천구 목동중앙로 125 (목동),1727.0,Y,SK에너지,양천구
